source_file,sheet_name,raw_csv,silver_csv,rows,status,retrieved_at_utc
civilian-targeting-events-and-fatalities.xlsx,TOU,/content/country_month_year_outputs/raw_converted_csv/civilian_targeting_events_and_fatalities__tou.csv,,8,raw_only,2026-08-19T16:08:43.000043+00:00
civilian-targeting-events-and-fatalities.xlsx,Non_HRP,/content/country_month_year_outputs/raw_converted_csv/civilian_targeting_events_and_fatalities__non_hrp.csv,/content/country_month_year_outputs/silver_country_month_year/civilian_targeting_events_and_fatalities__country_month_year.csv,30336,normalized,2026-08-19T16:08:43.000043+00:00
civilian-targeting-events-and-fatalities.xlsx,HRP_1,/content/country_month_year_outputs/raw_converted_csv/civilian_targeting_events_and_fatalities__hrp_1.csv,/content/country_month_year_outputs/silver_country_month_year/civilian_targeting_events_and_fatalities__country_month_year.csv,599440,normalized,2026-08-19T16:08:43.000043+00:00
civilian-targeting-events-and-fatalities.xlsx,HRP_2,/content/country_month_year_outputs/raw_converted_csv/civilian_targeting_events_and_fatalities__hrp_2.csv,/content/country_month_year_outputs/silver_country_month_year/civilian_targeting_events_and_fatalities__country_month_year.csv,406576,normalized,2026-08-19T16:08:43.000043+00:00
demonstration-events.xlsx,TOU,/content/country_month_year_outputs/raw_converted_csv/demonstration_events__tou.csv,,8,raw_only,2026-08-19T16:08:43.000043+00:00
demonstration-events.xlsx,Non_HRP,/content/country_month_year_outputs/raw_converted_csv/demonstration_events__non_hrp.csv,/content/country_month_year_outputs/silver_country_month_year/demonstration_events__country_month_year.csv,30336,normalized,2026-08-19T16:08:43.000043+00:00
demonstration-events.xlsx,HRP_1,/content/country_month_year_outputs/raw_converted_csv/demonstration_events__hrp_1.csv,/content/country_month_year_outputs/silver_country_month_year/demonstration_events__country_month_year.csv,599440,normalized,2026-08-19T16:08:43.000043+00:00
demonstration-events.xlsx,HRP_2,/content/country_month_year_outputs/raw_converted_csv/demonstration_events__hrp_2.csv,/content/country_month_year_outputs/silver_country_month_year/demonstration_events__country_month_year.csv,406576,normalized,2026-08-19T16:08:43.000043+00:00
political-violence-events-and-fatalities.xlsx,TOU,/content/country_month_year_outputs/raw_converted_csv/political_violence_events_and_fatalities__tou.csv,,8,raw_only,2026-08-19T16:08:43.000043+00:00
political-violence-events-and-fatalities.xlsx,Non_HRP,/content/country_month_year_outputs/raw_converted_csv/political_violence_events_and_fatalities__non_hrp.csv,/content/country_month_year_outputs/silver_country_month_year/political_violence_events_and_fatalities__country_month_year.csv,30336,normalized,2026-08-19T16:08:43.000043+00:00
political-violence-events-and-fatalities.xlsx,HRP_1,/content/country_month_year_outputs/raw_converted_csv/political_violence_events_and_fatalities__hrp_1.csv,/content/country_month_year_outputs/silver_country_month_year/political_violence_events_and_fatalities__country_month_year.csv,599440,normalized,2026-08-19T16:08:43.000043+00:00
political-violence-events-and-fatalities.xlsx,HRP_2,/content/country_month_year_outputs/raw_converted_csv/political_violence_events_and_fatalities__hrp_2.csv,/content/country_month_year_outputs/silver_country_month_year/political_violence_events_and_fatalities__country_month_year.csv,406576,normalized,2026-08-19T16:08:43.000043+00:00
worldriskindex-meta.xlsx,WorldRiskIndex,/content/country_month_year_outputs/raw_converted_csv/worldriskindex_meta__worldriskindex.csv,/content/country_month_year_outputs/silver_country_month_year/worldriskindex_meta__country_month_year.csv,151,normalized,2026-08-19T16:08:43.000043+00:00
worldriskindex-meta.xlsx,Imputation Variables,/content/country_month_year_outputs/raw_converted_csv/worldriskindex_meta__imputation_variables.csv,/content/country_month_year_outputs/silver_country_month_year/worldriskindex_meta__country_month_year.csv,236,normalized,2026-08-19T16:08:43.000043+00:00
WHO-COVID-19-global-daily-data.csv,,/content/country_month_year_outputs/raw_converted_csv/who_covid_19_global_daily_data.csv,/content/country_month_year_outputs/silver_country_month_year/who_covid_19_global_daily_data__country_month_year.csv,573360,normalized,2026-08-19T16:08:43.000043+00:00
WHS2026_DATADOWNLOAD_as_of_2026_08_02.csv,,/content/country_month_year_outputs/raw_converted_csv/whs2026_datadownload_as_of_2026_08_02.csv,/content/country_month_year_outputs/silver_country_month_year/whs2026_datadownload_as_of_2026_08_02__country_month_year.csv,8299,normalized,2026-08-19T16:08:43.000043+00:00
gdacs_rss_information.csv,,/content/country_month_year_outputs/raw_converted_csv/gdacs_rss_information.csv,/content/country_month_year_outputs/silver_country_month_year/gdacs_rss_information__country_month_year.csv,409,normalized,2026-08-19T16:08:43.000043+00:00
hdx_colab_download_manifest.csv,,/content/country_month_year_outputs/raw_converted_csv/hdx_colab_download_manifest.csv,/content/country_month_year_outputs/silver_country_month_year/hdx_colab_download_manifest__country_month_year.csv,10,normalized,2026-08-19T16:08:43.000043+00:00
inform_risk_index_trends.csv,,/content/country_month_year_outputs/raw_converted_csv/inform_risk_index_trends.csv,/content/country_month_year_outputs/silver_country_month_year/inform_risk_index_trends__country_month_year.csv,7640,normalized,2026-08-19T16:08:43.000043+00:00
views-conflict-forecasts-country-month.csv,,/content/country_month_year_outputs/raw_converted_csv/views_conflict_forecasts_country_month.csv,/content/country_month_year_outputs/silver_country_month_year/views_conflict_forecasts_country_month__country_month_year.csv,1000,normalized,2026-08-19T16:08:43.000043+00:00
worldriskindex-trend.csv,,/content/country_month_year_outputs/raw_converted_csv/worldriskindex_trend.csv,/content/country_month_year_outputs/silver_country_month_year/worldriskindex_trend__country_month_year.csv,5018,normalized,2026-08-19T16:08:43.000043+00:00
